,Work_Experience,GPA,Certifications,Skills,Internships,Job_Changes,Networking_Score,Education_High School,Education_Master,Education_PhD,Industry_Finance,Industry_Healthcare,Industry_Retail,Industry_Tech,Location_Chicago,Location_Los Angeles,Location_New York,Location_San Francisco,Salary_at_30
0,2,3.1,4,['Python'],0,0,0.96,False,True,False,False,False,True,False,False,False,True,False,30000.0
1,3,3.04,4,"['Management', 'Excel', 'C++']",2,4,0.01,False,False,True,False,False,False,False,True,False,False,False,47961.40541461193
2,6,3.74,2,['Excel'],1,0,0.19,True,False,False,False,False,False,True,False,False,False,True,43079.076610357195
3,2,3.18,0,"['Python', 'Marketing', 'C++', 'Excel']",0,4,0.54,False,True,False,True,False,False,False,False,False,False,True,31255.586657747233
4,8,3.29,4,"['Python', 'Java']",0,1,0.22,False,True,False,False,False,False,True,False,True,False,False,56185.01495808898
5,7,3.97,2,"['C++', 'Excel']",1,2,0.76,False,False,True,False,False,True,False,False,False,False,True,55875.970334207195
6,3,2.59,3,"['Java', 'C++', 'Python', 'Excel']",2,1,0.31,True,False,False,False,False,False,True,False,False,False,False,34230.806865385544
7,0,3.23,3,"['R', 'SQL', 'Excel', 'Marketing']",2,3,0.29,True,False,False,True,False,False,False,False,False,False,True,30000.0
8,0,3.66,1,"['Excel', 'Python', 'Management']",1,4,0.0,False,True,False,False,True,False,False,False,False,False,True,30000.0
9,0,2.73,4,['R'],0,2,0.27,False,False,False,False,False,False,True,False,False,False,True,30000.0
10,0,3.42,2,"['Java', 'C++', 'Python']",1,4,0.22,False,True,False,False,False,False,False,True,False,False,False,30000.0
11,7,2.86,2,"['Excel', 'Management', 'Python', 'Java']",1,3,0.34,False,True,False,False,True,False,False,False,True,False,False,51896.16564876974
12,2,3.8,0,"['R', 'Java', 'Excel']",1,3,0.15,False,True,False,False,False,False,False,False,False,True,False,30103.207945205326
13,5,2.99,2,['Python'],0,3,0.59,False,True,False,False,False,False,False,False,True,False,False,56557.41414972239
14,2,2.99,4,"['Java', 'Python']",1,1,0.24,False,False,True,False,False,False,False,False,False,False,False,30000.0
15,4,3.4,2,"['Excel', 'Management']",1,1,0.83,True,False,False,False,False,False,True,True,False,False,False,47939.402918285006
16,6,2.78,1,"['Marketing', 'R', 'SQL']",0,2,0.28,False,False,True,False,False,True,False,True,False,False,False,43016.438113835204
17,1,2.93,3,"['R', 'SQL']",0,3,0.21,False,False,True,False,True,False,False,False,False,False,True,30000.0
18,5,3.12,3,"['Java', 'R']",1,1,0.06,False,False,True,True,False,False,False,False,False,False,True,49696.88004875077
19,5,3.03,2,['SQL'],2,0,0.74,False,True,False,False,False,True,False,False,False,False,False,44792.385945700546
20,2,3.29,2,"['SQL', 'Management']",1,0,0.51,False,False,False,False,False,False,True,True,False,False,False,30000.0
21,5,3.4,2,"['Java', 'R', 'C++', 'Marketing']",0,1,0.11,True,False,False,False,False,False,False,False,False,True,False,43380.87897609543
22,9,3.35,2,"['R', 'C++']",0,2,0.22,False,False,False,True,False,False,False,False,True,False,False,70783.91898243374
23,9,3.48,1,['Management'],0,4,1.0,False,False,True,False,True,False,False,True,False,False,False,73189.97352645575
24,4,2.96,4,['R'],2,3,0.81,False,False,True,False,False,True,False,False,False,True,False,44324.91309631733
